file,distance_m,max_speed_mps,anomalies
route_2020-01-16_11.23am.gpx,1650.71,23.54,1
route_2020-01-18_2.55pm.gpx,1830.85,24.845,2
route_2020-01-19_12.26pm.gpx,1416.07,24.94,5
route_2020-01-20_9.42am.gpx,2164.36,36.383,4
route_2020-01-23_7.18pm.gpx,848.67,8.921,0
route_2020-01-23_7.21pm.gpx,79.0,5.19,0
route_2020-01-24_7.26pm.gpx,1060.92,9.083,0
route_2020-01-25_3.40pm.gpx,2106.14,16.212,41
route_2020-01-27_5.53pm.gpx,95.1,15.305,1
route_2020-01-27_7.19pm.gpx,220.07,16.697,1
route_2020-01-27_7.49pm.gpx,1304.63,16.79,2
route_2020-01-29_5.08pm.gpx,1463.74,16.749,1
route_2020-01-30_4.54pm.gpx,1842.27,11.889,2
